Temperatur;Luftfeuchtigkeit;Timestamp
30.9041;57.21523;(2023, 8, 23, 13, 20, 31)
30.89075;57.22438;(2023, 8, 23, 13, 20, 32)
30.9041;57.21523;(2023, 8, 23, 13, 20, 33)
30.91745;57.22897;(2023, 8, 23, 13, 20, 34)
30.87473;57.22285;(2023, 8, 23, 13, 20, 35)
30.87473;57.23354;(2023, 8, 23, 13, 20, 36)
30.83467;57.27322;(2023, 8, 23, 13, 20, 37)
30.84802;57.25185;(2023, 8, 23, 13, 20, 38)
30.83467;57.30679;(2023, 8, 23, 13, 20, 39)
30.81865;57.35104;(2023, 8, 23, 13, 20, 40)
30.81865;57.39681;(2023, 8, 23, 13, 20, 41)
30.81865;57.42123;(2023, 8, 23, 13, 20, 42)
30.83467;57.42428;(2023, 8, 23, 13, 20, 43)
30.79195;57.45174;(2023, 8, 23, 13, 20, 44)
30.81865;57.40749;(2023, 8, 23, 13, 20, 45)
30.79195;57.47463;(2023, 8, 23, 13, 20, 46)
30.8053;57.48531;(2023, 8, 23, 13, 20, 47)
30.8053;57.48531;(2023, 8, 23, 13, 20, 48)
30.79195;57.51736;(2023, 8, 23, 13, 20, 49)
30.8053;57.52041;(2023, 8, 23, 13, 20, 50)
30.77859;57.56313;(2023, 8, 23, 13, 20, 51)
30.79195;57.51736;(2023, 8, 23, 13, 20, 52)
30.81865;57.53414;(2023, 8, 23, 13, 20, 53)
30.77859;57.51583;(2023, 8, 23, 13, 20, 54)
30.8053;57.55398;(2023, 8, 23, 13, 20, 55)
30.81865;57.55703;(2023, 8, 23, 13, 20, 56)
30.81865;57.54787;(2023, 8, 23, 13, 20, 57)
30.8053;57.53109;(2023, 8, 23, 13, 20, 58)
30.81865;57.54787;(2023, 8, 23, 13, 20, 59)
30.81865;57.54787;(2023, 8, 23, 13, 21, 0)
30.77859;57.54025;(2023, 8, 23, 13, 21, 1)
30.77859;57.50668;(2023, 8, 23, 13, 21, 2)
30.77859;57.48074;(2023, 8, 23, 13, 21, 3)
30.81865;57.51278;(2023, 8, 23, 13, 21, 4)
30.8053;57.49752;(2023, 8, 23, 13, 21, 5)
30.8053;57.49752;(2023, 8, 23, 13, 21, 6)
30.81865;57.48837;(2023, 8, 23, 13, 21, 7)
30.81865;57.48837;(2023, 8, 23, 13, 21, 8)
30.8053;57.47616;(2023, 8, 23, 13, 21, 9)
30.8053;57.48531;(2023, 8, 23, 13, 21, 10)
30.8053;57.47616;(2023, 8, 23, 13, 21, 11)
30.8053;57.49752;(2023, 8, 23, 13, 21, 12)
30.81865;57.48837;(2023, 8, 23, 13, 21, 13)
30.8053;57.49752;(2023, 8, 23, 13, 21, 14)
30.81865;57.47616;(2023, 8, 23, 13, 21, 15)
30.8053;57.53109;(2023, 8, 23, 13, 21, 16)
30.79195;57.47463;(2023, 8, 23, 13, 21, 17)
30.77859;57.50668;(2023, 8, 23, 13, 21, 18)
30.8053;57.60281;(2023, 8, 23, 13, 21, 20)
30.8053;57.61196;(2023, 8, 23, 13, 21, 21)
30.8053;57.6257;(2023, 8, 23, 13, 21, 22)
30.8053;57.64553;(2023, 8, 23, 13, 21, 23)
30.83467;57.57229;(2023, 8, 23, 13, 21, 24)
30.81865;57.57076;(2023, 8, 23, 13, 21, 25)
30.83467;57.59518;(2023, 8, 23, 13, 21, 26)
30.83467;57.57229;(2023, 8, 23, 13, 21, 27)
30.83467;57.55856;(2023, 8, 23, 13, 21, 28)
30.89075;57.54787;(2023, 8, 23, 13, 21, 29)
30.84802;57.47005;(2023, 8, 23, 13, 21, 30)
30.89075;57.47616;(2023, 8, 23, 13, 21, 31)
30.9041;57.41055;(2023, 8, 23, 13, 21, 32)
30.91745;57.34341;(2023, 8, 23, 13, 21, 33)
30.89075;57.35104;(2023, 8, 23, 13, 21, 34)
30.9041;57.27322;(2023, 8, 23, 13, 21, 35)
30.93347;57.25491;(2023, 8, 23, 13, 21, 36)
30.9041;57.20454;(2023, 8, 23, 13, 21, 37)
30.91745;57.11452;(2023, 8, 23, 13, 21, 38)
30.9041;57.13588;(2023, 8, 23, 13, 21, 39)
30.93347;57.08247;(2023, 8, 23, 13, 21, 42)
30.94682;57.07179;(2023, 8, 23, 13, 21, 43)
30.93347;57.09163;(2023, 8, 23, 13, 21, 44)
30.93347;57.04585;(2023, 8, 23, 13, 21, 45)
30.96017;57.03975;(2023, 8, 23, 13, 21, 46)
30.94682;56.99397;(2023, 8, 23, 13, 21, 49)
30.97353;56.97261;(2023, 8, 23, 13, 21, 50)
30.98955;57.00008;(2023, 8, 23, 13, 21, 51)
30.96017;56.99397;(2023, 8, 23, 13, 21, 52)
30.97353;56.94972;(2023, 8, 23, 13, 21, 53)
30.97353;56.98482;(2023, 8, 23, 13, 21, 54)
30.94682;56.98024;(2023, 8, 23, 13, 21, 55)
30.96017;56.92531;(2023, 8, 23, 13, 21, 57)
30.96017;56.98177;(2023, 8, 23, 13, 21, 58)
30.96017;56.9482;(2023, 8, 23, 13, 21, 59)
30.96017;56.98177;(2023, 8, 23, 13, 22, 0)
30.93347;57.00008;(2023, 8, 23, 13, 22, 1)
30.91745;57.05806;(2023, 8, 23, 13, 22, 4)
30.91745;57.00923;(2023, 8, 23, 13, 22, 5)
30.91745;57.06721;(2023, 8, 23, 13, 22, 6)
30.91745;57.13588;(2023, 8, 23, 13, 22, 7)
30.91745;57.0901;(2023, 8, 23, 13, 22, 8)
30.9041;57.11299;(2023, 8, 23, 13, 22, 9)
30.89075;57.11909;(2023, 8, 23, 13, 22, 10)
30.9041;57.12215;(2023, 8, 23, 13, 22, 11)
30.9041;57.13588;(2023, 8, 23, 13, 22, 12)
30.87473;57.10841;(2023, 8, 23, 13, 22, 13)
30.87473;57.18623;(2023, 8, 23, 13, 22, 14)
30.87473;57.21065;(2023, 8, 23, 13, 22, 15)
30.84802;57.27474;(2023, 8, 23, 13, 22, 16)
30.84802;57.28695;(2023, 8, 23, 13, 22, 17)
30.86137;57.28848;(2023, 8, 23, 13, 22, 18)
30.84802;57.33273;(2023, 8, 23, 13, 22, 19)
30.83467;57.30679;(2023, 8, 23, 13, 22, 20)
30.83467;57.34188;(2023, 8, 23, 13, 22, 21)
30.84802;57.32052;(2023, 8, 23, 13, 22, 24)
30.84802;57.27474;(2023, 8, 23, 13, 22, 25)
30.84802;57.25185;(2023, 8, 23, 13, 22, 26)
30.84802;57.23812;(2023, 8, 23, 13, 22, 27)
30.86137;57.24117;(2023, 8, 23, 13, 22, 28)
30.87473;57.22285;(2023, 8, 23, 13, 22, 29)
30.87473;57.23354;(2023, 8, 23, 13, 22, 30)
30.86137;57.20912;(2023, 8, 23, 13, 22, 31)
30.87473;57.22285;(2023, 8, 23, 13, 22, 33)
30.89075;57.22438;(2023, 8, 23, 13, 22, 34)
30.89075;57.19081;(2023, 8, 23, 13, 22, 35)
30.89075;57.20149;(2023, 8, 23, 13, 22, 36)
30.9041;57.16945;(2023, 8, 23, 13, 22, 37)
30.89075;57.20149;(2023, 8, 23, 13, 22, 38)
30.9041;57.11299;(2023, 8, 23, 13, 22, 39)
30.91745;57.14961;(2023, 8, 23, 13, 22, 40)
30.9041;57.12215;(2023, 8, 23, 13, 22, 41)
30.9041;57.11299;(2023, 8, 23, 13, 22, 42)
30.91745;57.12367;(2023, 8, 23, 13, 22, 43)
30.9041;57.11299;(2023, 8, 23, 13, 22, 44)
30.93347;57.10384;(2023, 8, 23, 13, 22, 45)
30.94682;57.10536;(2023, 8, 23, 13, 22, 46)
30.93347;57.09163;(2023, 8, 23, 13, 22, 47)
30.91745;57.0901;(2023, 8, 23, 13, 22, 48)
30.9041;57.05501;(2023, 8, 23, 13, 22, 49)
30.93347;57.08247;(2023, 8, 23, 13, 22, 50)
30.91745;57.12367;(2023, 8, 23, 13, 22, 51)
30.87473;57.15114;(2023, 8, 23, 13, 22, 52)
30.87473;57.19997;(2023, 8, 23, 13, 22, 53)
30.86137;57.2198;(2023, 8, 23, 13, 22, 54)
30.8053;57.40597;(2023, 8, 23, 13, 22, 57)
30.81865;57.45632;(2023, 8, 23, 13, 22, 58)
30.79195;57.47463;(2023, 8, 23, 13, 22, 59)
30.76257;57.52499;(2023, 8, 23, 13, 23, 0)
30.77859;57.58602;(2023, 8, 23, 13, 23, 1)
30.74922;57.57992;(2023, 8, 23, 13, 23, 2)
30.73587;57.67147;(2023, 8, 23, 13, 23, 3)
30.73587;57.72793;(2023, 8, 23, 13, 23, 4)
30.74922;57.77676;(2023, 8, 23, 13, 23, 5)
30.73587;57.75082;(2023, 8, 23, 13, 23, 6)
30.73587;57.71725;(2023, 8, 23, 13, 23, 7)
30.71985;57.70352;(2023, 8, 23, 13, 23, 8)
30.71985;57.72641;(2023, 8, 23, 13, 23, 9)
30.70649;57.80423;(2023, 8, 23, 13, 23, 10)
30.73587;57.84237;(2023, 8, 23, 13, 23, 11)
30.71985;57.87442;(2023, 8, 23, 13, 23, 12)
30.73587;57.92324;(2023, 8, 23, 13, 23, 13)
30.70649;57.91867;(2023, 8, 23, 13, 23, 14)
30.71985;57.90951;(2023, 8, 23, 13, 23, 15)
30.70649;57.87289;(2023, 8, 23, 13, 23, 16)
30.67979;57.87899;(2023, 8, 23, 13, 23, 17)
30.67979;57.91409;(2023, 8, 23, 13, 23, 18)
30.66376;57.90036;(2023, 8, 23, 13, 23, 19)
30.65041;58.00106;(2023, 8, 23, 13, 23, 20)
30.63706;57.99801;(2023, 8, 23, 13, 23, 21)
30.63706;58.04685;(2023, 8, 23, 13, 23, 22)
30.62104;58.06516;(2023, 8, 23, 13, 23, 23)
30.60769;58.11094;(2023, 8, 23, 13, 23, 24)
30.60769;58.15366;(2023, 8, 23, 13, 23, 25)
30.59434;58.19944;(2023, 8, 23, 13, 23, 26)
30.56496;58.15824;(2023, 8, 23, 13, 23, 27)
30.58099;58.23148;(2023, 8, 23, 13, 23, 28)
30.56496;58.28641;(2023, 8, 23, 13, 23, 29)
30.56496;58.30777;(2023, 8, 23, 13, 23, 30)
30.53826;58.3505;(2023, 8, 23, 13, 23, 31)
30.56496;58.35508;(2023, 8, 23, 13, 23, 32)
30.55161;58.35355;(2023, 8, 23, 13, 23, 33)
30.56496;58.37796;(2023, 8, 23, 13, 23, 34)
30.52491;58.38254;(2023, 8, 23, 13, 23, 35)
30.56496;58.37796;(2023, 8, 23, 13, 23, 36)
30.55161;58.39933;(2023, 8, 23, 13, 23, 37)
30.56496;58.41306;(2023, 8, 23, 13, 23, 38)
30.55161;58.45579;(2023, 8, 23, 13, 23, 39)
30.55161;58.45579;(2023, 8, 23, 13, 23, 40)
30.53826;58.43137;(2023, 8, 23, 13, 23, 41)
30.55161;58.4329;(2023, 8, 23, 13, 23, 42)
30.52491;58.44053;(2023, 8, 23, 13, 23, 43)
30.53826;58.39627;(2023, 8, 23, 13, 23, 44)
30.52491;58.34897;(2023, 8, 23, 13, 23, 45)
30.53826;58.37339;(2023, 8, 23, 13, 23, 46)
30.52491;58.33677;(2023, 8, 23, 13, 23, 47)
30.52491;58.38254;(2023, 8, 23, 13, 23, 48)
30.50889;58.4268;(2023, 8, 23, 13, 23, 49)
30.50889;58.39017;(2023, 8, 23, 13, 23, 50)
30.50889;58.40391;(2023, 8, 23, 13, 23, 51)
30.49287;58.36728;(2023, 8, 23, 13, 23, 52)
30.50889;58.33219;(2023, 8, 23, 13, 23, 53)
30.52491;58.3032;(2023, 8, 23, 13, 23, 54)
30.50889;58.22995;(2023, 8, 23, 13, 23, 55)
30.52491;58.22232;(2023, 8, 23, 13, 23, 56)
30.52491;58.20859;(2023, 8, 23, 13, 23, 57)
30.52491;58.24521;(2023, 8, 23, 13, 23, 58)
30.50889;58.19791;(2023, 8, 23, 13, 23, 59)
30.50889;58.24063;(2023, 8, 23, 13, 24, 0)
30.53826;58.17655;(2023, 8, 23, 13, 24, 1)
30.53826;58.19028;(2023, 8, 23, 13, 24, 2)
30.53826;58.19028;(2023, 8, 23, 13, 24, 3)
30.53826;58.20249;(2023, 8, 23, 13, 24, 4)
30.53826;58.15366;(2023, 8, 23, 13, 24, 5)
30.56496;58.14756;(2023, 8, 23, 13, 24, 6)
30.55161;58.1445;(2023, 8, 23, 13, 24, 7)
30.55161;58.07889;(2023, 8, 23, 13, 24, 8)
30.58099;58.09262;(2023, 8, 23, 13, 24, 9)
30.56496;58.08042;(2023, 8, 23, 13, 24, 10)
30.56496;58.1384;(2023, 8, 23, 13, 24, 11)
30.56496;58.15824;(2023, 8, 23, 13, 24, 12)
30.52491;58.29099;(2023, 8, 23, 13, 24, 13)
30.53826;58.32761;(2023, 8, 23, 13, 24, 14)
30.52491;58.33677;(2023, 8, 23, 13, 24, 15)
30.52491;58.39475;(2023, 8, 23, 13, 24, 16)
30.53826;58.39627;(2023, 8, 23, 13, 24, 17)
30.52491;58.39475;(2023, 8, 23, 13, 24, 18)
30.53826;58.39627;(2023, 8, 23, 13, 24, 19)
30.55161;58.4329;(2023, 8, 23, 13, 24, 20)
30.53826;58.43137;(2023, 8, 23, 13, 24, 21)
30.49287;58.48173;(2023, 8, 23, 13, 24, 22)
30.49287;58.45884;(2023, 8, 23, 13, 24, 23)
30.47952;58.45579;(2023, 8, 23, 13, 24, 24)
30.49287;58.41306;(2023, 8, 23, 13, 24, 25)
30.50889;58.43748;(2023, 8, 23, 13, 24, 26)
30.50889;58.43748;(2023, 8, 23, 13, 24, 27)
30.47952;58.44511;(2023, 8, 23, 13, 24, 28)
30.49287;58.42374;(2023, 8, 23, 13, 24, 29)
30.50889;58.40391;(2023, 8, 23, 13, 24, 30)
30.53826;58.41917;(2023, 8, 23, 13, 24, 31)
30.53826;58.36271;(2023, 8, 23, 13, 24, 32)
30.53826;58.29404;(2023, 8, 23, 13, 24, 33)
30.52491;58.28031;(2023, 8, 23, 13, 24, 34)
30.53826;58.23453;(2023, 8, 23, 13, 24, 35)
30.55161;58.21317;(2023, 8, 23, 13, 24, 36)
30.53826;58.19028;(2023, 8, 23, 13, 24, 37)
30.52491;58.25742;(2023, 8, 23, 13, 24, 38)
30.49287;58.27573;(2023, 8, 23, 13, 24, 39)
30.50889;58.35813;(2023, 8, 23, 13, 24, 40)
30.50889;58.39017;(2023, 8, 23, 13, 24, 41)
30.49287;58.44663;(2023, 8, 23, 13, 24, 42)
30.47952;58.47868;(2023, 8, 23, 13, 24, 43)
30.49287;58.5153;(2023, 8, 23, 13, 24, 44)
30.45014;58.55497;(2023, 8, 23, 13, 24, 45)
30.45014;58.51987;(2023, 8, 23, 13, 24, 46)
30.43679;58.59769;(2023, 8, 23, 13, 24, 47)
30.43679;58.58701;(2023, 8, 23, 13, 24, 48)
30.45014;58.61143;(2023, 8, 23, 13, 24, 49)
30.39407;58.57938;(2023, 8, 23, 13, 24, 50)
30.39407;58.57938;(2023, 8, 23, 13, 24, 51)
30.40742;58.616;(2023, 8, 23, 13, 24, 52)
30.40742;58.6511;(2023, 8, 23, 13, 24, 53)
30.39407;58.68314;(2023, 8, 23, 13, 24, 54)
30.38071;58.70298;(2023, 8, 23, 13, 24, 55)
30.39407;58.7396;(2023, 8, 23, 13, 24, 56)
30.36469;58.74723;(2023, 8, 23, 13, 24, 57)
30.38071;58.79454;(2023, 8, 23, 13, 24, 58)
30.39407;58.82048;(2023, 8, 23, 13, 24, 59)
30.36469;58.8159;(2023, 8, 23, 13, 25, 0)
30.33798;58.81133;(2023, 8, 23, 13, 25, 1)
30.36469;58.82658;(2023, 8, 23, 13, 25, 2)
30.33798;58.84489;(2023, 8, 23, 13, 25, 3)
30.35133;58.91661;(2023, 8, 23, 13, 25, 4)
30.35133;58.93034;(2023, 8, 23, 13, 25, 5)
30.33798;58.97154;(2023, 8, 23, 13, 25, 6)
30.32463;58.99443;(2023, 8, 23, 13, 25, 7)
30.33798;58.99596;(2023, 8, 23, 13, 25, 8)
30.33798;58.98528;(2023, 8, 23, 13, 25, 9)
30.35133;59.0219;(2023, 8, 23, 13, 25, 10)
30.33798;59.01884;(2023, 8, 23, 13, 25, 11)
30.35133;58.99901;(2023, 8, 23, 13, 25, 12)
30.35133;59.0219;(2023, 8, 23, 13, 25, 13)
30.36469;58.97612;(2023, 8, 23, 13, 25, 14)
30.35133;58.96391;(2023, 8, 23, 13, 25, 15)
30.35133;58.95018;(2023, 8, 23, 13, 25, 16)
30.36469;58.89525;(2023, 8, 23, 13, 25, 17)
30.35133;58.87083;(2023, 8, 23, 13, 25, 18)
30.38071;58.87541;(2023, 8, 23, 13, 25, 19)
30.36469;58.84947;(2023, 8, 23, 13, 25, 20)
30.36469;58.84947;(2023, 8, 23, 13, 25, 21)
30.38071;58.85252;(2023, 8, 23, 13, 25, 22)
30.36469;58.93187;(2023, 8, 23, 13, 25, 23)
30.35133;58.93034;(2023, 8, 23, 13, 25, 24)
30.38071;58.93492;(2023, 8, 23, 13, 25, 25)
30.33798;58.91356;(2023, 8, 23, 13, 25, 26)
30.36469;58.93187;(2023, 8, 23, 13, 25, 27)
30.33798;58.93645;(2023, 8, 23, 13, 25, 28)
30.36469;58.95323;(2023, 8, 23, 13, 25, 29)
30.36469;58.90746;(2023, 8, 23, 13, 25, 30)
30.33798;58.93645;(2023, 8, 23, 13, 25, 31)
30.35133;58.82506;(2023, 8, 23, 13, 25, 32)
30.36469;58.84947;(2023, 8, 23, 13, 25, 33)
30.36469;58.8159;(2023, 8, 23, 13, 25, 34)
30.35133;58.78996;(2023, 8, 23, 13, 25, 35)
30.33798;58.83574;(2023, 8, 23, 13, 25, 36)
30.35133;58.81285;(2023, 8, 23, 13, 25, 37)
30.33798;58.8571;(2023, 8, 23, 13, 25, 38)
30.35133;58.9044;(2023, 8, 23, 13, 25, 39)
30.32463;58.87694;(2023, 8, 23, 13, 25, 40)
30.32463;58.86626;(2023, 8, 23, 13, 25, 41)
30.32463;58.88914;(2023, 8, 23, 13, 25, 42)
30.30861;58.92119;(2023, 8, 23, 13, 25, 43)
30.30861;58.93187;(2023, 8, 23, 13, 25, 44)
30.30861;58.87541;(2023, 8, 23, 13, 25, 45)
30.29526;58.90746;(2023, 8, 23, 13, 25, 46)
30.30861;58.92119;(2023, 8, 23, 13, 25, 47)
30.29526;58.88457;(2023, 8, 23, 13, 25, 48)
30.30861;58.8983;(2023, 8, 23, 13, 25, 49)
30.29526;58.89525;(2023, 8, 23, 13, 25, 50)
30.30861;58.88609;(2023, 8, 23, 13, 25, 51)
30.29526;58.90746;(2023, 8, 23, 13, 25, 52)
30.29526;58.95476;(2023, 8, 23, 13, 25, 53)
30.30861;58.90898;(2023, 8, 23, 13, 25, 54)
30.28191;58.9395;(2023, 8, 23, 13, 25, 55)
30.26855;58.97154;(2023, 8, 23, 13, 25, 56)
30.28191;59.03105;(2023, 8, 23, 13, 25, 57)
30.26855;59.08598;(2023, 8, 23, 13, 25, 58)
30.29526;59.10429;(2023, 8, 23, 13, 25, 59)
30.25253;59.10887;(2023, 8, 23, 13, 26, 0)
30.26855;59.08598;(2023, 8, 23, 13, 26, 1)
30.23918;59.1638;(2023, 8, 23, 13, 26, 2)
30.22583;59.13634;(2023, 8, 23, 13, 26, 3)
30.23918;59.20654;(2023, 8, 23, 13, 26, 4)
30.23918;59.43847;(2023, 8, 23, 13, 26, 5)
30.23918;59.83825;(2023, 8, 23, 13, 26, 6)
30.23918;60.04731;(2023, 8, 23, 13, 26, 7)
30.25253;60.15259;(2023, 8, 23, 13, 26, 8)
30.22583;60.18158;(2023, 8, 23, 13, 26, 9)
30.23918;60.03357;(2023, 8, 23, 13, 26, 10)
30.22583;59.90539;(2023, 8, 23, 13, 26, 11)
30.25253;59.76043;(2023, 8, 23, 13, 26, 12)
30.25253;59.68109;(2023, 8, 23, 13, 26, 13)
30.26855;59.56817;(2023, 8, 23, 13, 26, 14)
